"","종목명","현재가","전일대비","등락률","시가총액(억)","외국인비율(%)","매출액(억)","영업이익(억)","조정영업이익(억)","영업이익증가율(%)","당기순이익(억)","주당순이익(원)","ROE(%)","PER(%)","PBR(배)"
"1","남양유업*003920","503,000","보합0","0.00%","3,621","7.87","2,401","-157","-157","40.60","-153","-17,021.66","-10.26","-5.79","0.60"
"2","오리온*271560","131,200","상향
				700","상향
				+0.54%","51,871","42.23","6,638","992","991","-32.40","777","1,924.87","15.84","13.25","1.95"
"3","CJ제일제당*097950","276,000","하향
				500","하향
				-0.18%","41,549","22.82","70,712","2,528","2,528","5.08","493","404.59","6.04","11.20","0.64"
"4","농심*004370","414,500","하향
				4,000","하향
				-0.96%","25,212","17.58","8,604","638","638","37.70","541","8,943.49","6.02","18.34","1.02"
"5","동원산업*006040","41,550","상향
				50","상향
				+0.12%","20,767","2.15","22,642","1,173","1,173","-53.38","725","1,228.55","9.65","6.64","0.59"
