"","종목명","현재가","전일대비","등락률","시가총액(억)","외국인비율(%)","매출액(억)","영업이익(억)","조정영업이익(억)","영업이익증가율(%)","당기순이익(억)","주당순이익(원)","ROE(%)","PER(%)","PBR(배)"
"1","삼성전자*005930","70,500","보합0","0.00%","4,208,696","52.57","637,454","6,402","6,402","-85.13","15,746","206.29","13.71","10.64","1.37"
"2","SK하이닉스*000660","115,100","보합0","0.00%","837,930","51.83","50,881","-34,023","-34,023","-79.22","-25,855","-3,544.51","-3.75","-35.97","1.30"
"3","SK스퀘어*402340","46,200","보합0","0.00%","65,358","42.76","112","-6,390","-6,390","28.69","-5,237","-3,748.44","-4.19","-9.34","0.40"
"4","한미반도체*042700","29,200","보합0","0.00%","28,423","8.32","265","21","21","-85.71","1,332","1,367.96","48.96","13.96","5.64"
"5","DB하이텍*000990","63,800","보합0","0.00%","28,326","17.92","2,982","830","830","-45.99","764","1,715.49","32.83","5.96","1.67"
