"","종목명","현재가","전일대비","등락률","시가총액(억)","외국인비율(%)","매출액(억)","영업이익(억)","조정영업이익(억)","영업이익증가율(%)","당기순이익(억)","주당순이익(원)","ROE(%)","PER(%)","PBR(배)"
"1","현대차*005380","201,500","하향
				2,500","하향
				-1.23%","426,235","32.36","377,787","35,927","35,927","6.95","34,194","12,033.86","11.30","6.13","0.62"
"2","기아*000270","83,000","하향
				900","하향
				-1.07%","333,696","37.46","236,907","28,740","28,740","9.51","21,198","5,228.65","17.35","5.18","0.82"
"3","KG모빌리티*003620","8,150","하향
				110","하향
				-1.33%","15,236","25.22","10,850","94","94","655.00","165","88.37","-2.36","-66.80","1.35"
"4","엘브이엠씨홀딩스*900140","2,815","상향
				90","상향
				+3.30%","4,830","13.99","821","-23","-23","76.31","-73","-50.53","-9.88","-9.64","1.07"
"5","KR모터스*000040","600","보합0","0.00%","576","46.45","166","-29","-29","-5.88","-52","-43.02","-27.04","-6.74","2.00"
