"","종목명","현재가","전일대비","등락률","시가총액(억)","외국인비율(%)","매출액(억)","영업이익(억)","조정영업이익(억)","영업이익증가율(%)","당기순이익(억)","주당순이익(원)","ROE(%)","PER(%)","PBR(배)"
"1","LG전자*066570","124,300","하향
				700","하향
				-0.56%","203,414","30.03","204,159","14,974","14,974","2,061.64","5,465","2,606.04","2.28","50.96","1.13"
"2","휴맥스*115160","4,110","하향
				110","하향
				-2.61%","1,807","5.48","1,450","4","4","122.29","-128","-249.47","-13.09","-4.78","0.65"
"3","아남전자*008700","2,050","하향
				5","하향
				-0.24%","1,581","6.26","847","17","17","-50.26","10","12.40","10.12","16.02","1.56"
"4","팅크웨어*084730","13,270","하향
				60","하향
				-0.45%","1,474","2.35","743","4","4","269.02","16","89.21","2.57","37.91","0.88"
"5","인포마크*175140","9,420","하향
				60","하향
				-0.63%","1,387","0.52","60","-10","-10","72.31","-4","-28.49","-27.72","-12.53","3.15"
